name,defender_level,IV_atk,IV_def,IV_sta,CP,HP,TDO,DPT,DPE,type_1,type_2,fm_type,cm1_type,cm2_type,battle_score,viable
Charizard,30,10,10,10,2363,143,64.46,9.41,1.82,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,10,10,10,2559,149,78.72,9.78,1.88,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,40,10,10,10,2756,154,94.72,10.16,1.96,Fire,Flying,Fire,Fire,Fire,0.143,0
Charizard,45,10,10,10,2933,159,110.68,10.48,2.02,Fire,Flying,Fire,Fire,Fire,0.198,0
Charizard,50,10,10,10,3116,164,128.76,10.8,2.08,Fire,Flying,Fire,Fire,Fire,0.242,0
Charizard,30,10,10,15,2392,147,66.1,9.41,1.82,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,10,10,15,2592,153,80.73,9.78,1.88,Fire,Flying,Fire,Fire,Fire,0.044,0
Charizard,40,10,10,15,2791,158,97.14,10.16,1.96,Fire,Flying,Fire,Fire,Fire,0.154,0
Charizard,45,10,10,15,2970,163,113.5,10.48,2.02,Fire,Flying,Fire,Fire,Fire,0.198,0
Charizard,50,10,10,15,3155,168,132.04,10.8,2.08,Fire,Flying,Fire,Fire,Fire,0.275,1
Charizard,30,10,15,10,2395,143,66.22,9.41,1.82,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,10,15,10,2594,149,80.87,9.78,1.88,Fire,Flying,Fire,Fire,Fire,0.044,0
Charizard,40,10,15,10,2793,154,97.31,10.16,1.96,Fire,Flying,Fire,Fire,Fire,0.154,0
Charizard,45,10,15,10,2973,159,113.7,10.48,2.02,Fire,Flying,Fire,Fire,Fire,0.198,0
Charizard,50,10,15,10,3158,164,132.27,10.8,2.08,Fire,Flying,Fire,Fire,Fire,0.275,1
Charizard,30,10,15,15,2425,147,67.91,9.41,1.82,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,10,15,15,2627,153,82.93,9.78,1.88,Fire,Flying,Fire,Fire,Fire,0.077,0
Charizard,40,10,15,15,2829,158,99.8,10.16,1.96,Fire,Flying,Fire,Fire,Fire,0.165,0
Charizard,45,10,15,15,3011,163,116.6,10.48,2.02,Fire,Flying,Fire,Fire,Fire,0.198,0
Charizard,50,10,15,15,3198,168,135.65,10.8,2.08,Fire,Flying,Fire,Fire,Fire,0.275,1
Charizard,30,15,10,10,2413,143,65.84,9.6,1.85,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,15,10,10,2614,149,80.45,10.0,1.93,Fire,Flying,Fire,Fire,Fire,0.044,0
Charizard,40,15,10,10,2815,154,96.78,10.38,2.0,Fire,Flying,Fire,Fire,Fire,0.154,0
Charizard,45,15,10,10,2996,159,113.1,10.7,2.06,Fire,Flying,Fire,Fire,Fire,0.198,0
Charizard,50,15,10,10,3183,164,131.5,11.03,2.12,Fire,Flying,Fire,Fire,Fire,0.275,1
Charizard,30,15,10,15,2444,147,67.52,9.6,1.85,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,15,10,15,2647,153,82.5,10.0,1.93,Fire,Flying,Fire,Fire,Fire,0.055,0
Charizard,40,15,10,15,2851,158,99.24,10.38,2.0,Fire,Flying,Fire,Fire,Fire,0.165,0
Charizard,45,15,10,15,3034,163,115.98,10.7,2.06,Fire,Flying,Fire,Fire,Fire,0.198,0
Charizard,50,15,10,15,3223,168,134.85,11.03,2.12,Fire,Flying,Fire,Fire,Fire,0.275,1
Charizard,30,15,15,10,2446,143,67.63,9.6,1.85,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,15,15,10,2650,149,82.65,10.0,1.93,Fire,Flying,Fire,Fire,Fire,0.055,0
Charizard,40,15,15,10,2853,154,99.42,10.38,2.0,Fire,Flying,Fire,Fire,Fire,0.165,0
Charizard,45,15,15,10,3037,159,116.19,10.7,2.06,Fire,Flying,Fire,Fire,Fire,0.198,0
Charizard,50,15,15,10,3226,164,135.09,11.03,2.12,Fire,Flying,Fire,Fire,Fire,0.275,1
Charizard,30,15,15,15,2477,147,69.36,9.6,1.85,Fire,Flying,Fire,Fire,Fire,0.033,0
Charizard,35,15,15,15,2683,153,84.76,10.0,1.93,Fire,Flying,Fire,Fire,Fire,0.077,0
Charizard,40,15,15,15,2890,158,101.96,10.38,2.0,Fire,Flying,Fire,Fire,Fire,0.187,0
Charizard,45,15,15,15,3075,163,119.16,10.7,2.06,Fire,Flying,Fire,Fire,Fire,0.209,0
Charizard,50,15,15,15,3267,168,138.54,11.03,2.12,Fire,Flying,Fire,Fire,Fire,0.286,1
Arcanine,30,10,10,10,2577,165,58.46,7.74,1.34,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,10,10,10,2791,172,71.37,8.04,1.4,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,40,10,10,10,3006,178,85.93,8.36,1.45,Fire,Rock,Dark,Dark,Fire,0.055,0
Arcanine,45,10,10,10,3199,184,100.36,8.62,1.5,Fire,Rock,Dark,Dark,Fire,0.077,0
Arcanine,50,10,10,10,3398,189,116.74,8.88,1.54,Fire,Rock,Dark,Dark,Fire,0.165,0
Arcanine,30,10,10,15,2605,169,59.75,7.74,1.34,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,10,10,15,2822,175,72.94,8.04,1.4,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,40,10,10,15,3039,182,87.84,8.36,1.45,Fire,Rock,Dark,Dark,Fire,0.055,0
Arcanine,45,10,10,15,3234,188,102.58,8.62,1.5,Fire,Rock,Dark,Dark,Fire,0.077,0
Arcanine,50,10,10,15,3436,194,119.32,8.88,1.54,Fire,Rock,Dark,Dark,Fire,0.165,0
Arcanine,30,10,15,10,2613,165,60.13,7.74,1.34,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,10,15,10,2831,172,73.4,8.04,1.4,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,40,10,15,10,3049,178,88.39,8.36,1.45,Fire,Rock,Dark,Dark,Fire,0.055,0
Arcanine,45,10,15,10,3244,184,103.23,8.62,1.5,Fire,Rock,Dark,Dark,Fire,0.077,0
Arcanine,50,10,15,10,3446,189,120.07,8.88,1.54,Fire,Rock,Dark,Dark,Fire,0.165,0
Arcanine,30,10,15,15,2642,169,61.46,7.74,1.34,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,10,15,15,2862,175,75.03,8.04,1.4,Fire,Rock,Dark,Dark,Fire,0.022,0
Arcanine,40,10,15,15,3082,182,90.34,8.36,1.45,Fire,Rock,Dark,Dark,Fire,0.066,0
Arcanine,45,10,15,15,3280,188,105.52,8.62,1.5,Fire,Rock,Dark,Dark,Fire,0.077,0
Arcanine,50,10,15,15,3484,194,122.73,8.88,1.54,Fire,Rock,Dark,Dark,Fire,0.198,0
Arcanine,30,15,10,10,2630,165,59.66,7.9,1.37,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,15,10,10,2849,172,72.87,8.22,1.42,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,40,15,10,10,3068,178,87.68,8.52,1.48,Fire,Rock,Dark,Dark,Fire,0.055,0
Arcanine,45,15,10,10,3265,184,102.46,8.8,1.52,Fire,Rock,Dark,Dark,Fire,0.077,0
Arcanine,50,15,10,10,3468,189,119.17,9.06,1.58,Fire,Rock,Dark,Dark,Fire,0.165,0
Arcanine,30,15,10,15,2659,169,60.99,7.9,1.37,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,15,10,15,2880,175,74.48,8.22,1.42,Fire,Rock,Dark,Dark,Fire,0.022,0
Arcanine,40,15,10,15,3102,182,89.62,8.52,1.48,Fire,Rock,Dark,Dark,Fire,0.055,0
Arcanine,45,15,10,15,3301,188,104.73,8.8,1.52,Fire,Rock,Dark,Dark,Fire,0.077,0
Arcanine,50,15,10,15,3507,194,121.8,9.06,1.58,Fire,Rock,Dark,Dark,Fire,0.165,0
Arcanine,30,15,15,10,2667,165,61.37,7.9,1.37,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,15,15,10,2889,172,74.96,8.22,1.42,Fire,Rock,Dark,Dark,Fire,0.022,0
Arcanine,40,15,15,10,3112,178,90.19,8.52,1.48,Fire,Rock,Dark,Dark,Fire,0.066,0
Arcanine,45,15,15,10,3311,184,105.39,8.8,1.52,Fire,Rock,Dark,Dark,Fire,0.077,0
Arcanine,50,15,15,10,3518,189,122.57,9.06,1.58,Fire,Rock,Dark,Dark,Fire,0.187,0
Arcanine,30,15,15,15,2697,169,62.73,7.9,1.37,Fire,Rock,Dark,Dark,Fire,0.011,0
Arcanine,35,15,15,15,2921,175,76.62,8.22,1.42,Fire,Rock,Dark,Dark,Fire,0.022,0
Arcanine,40,15,15,15,3146,182,92.18,8.52,1.48,Fire,Rock,Dark,Dark,Fire,0.066,0
Arcanine,45,15,15,15,3348,188,107.72,8.8,1.52,Fire,Rock,Dark,Dark,Fire,0.099,0
Arcanine,50,15,15,15,3556,194,125.28,9.06,1.58,Fire,Rock,Dark,Dark,Fire,0.209,0
Arcanine,30,10,10,10,2480,158,58.8,7.4,1.41,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,10,10,10,2686,165,71.82,7.7,1.47,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,10,10,10,2893,171,86.41,7.99,1.52,Fire,,Dark,Fire,Ground,0.022,0
Arcanine,45,10,10,10,3079,176,100.94,8.24,1.58,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,50,10,10,10,3270,182,117.41,8.49,1.62,Fire,,Dark,Fire,Ground,0.11,0
Arcanine,30,10,10,15,2508,162,60.16,7.4,1.41,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,10,10,15,2717,169,73.47,7.7,1.47,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,10,10,15,2926,175,88.4,7.99,1.52,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,45,10,10,15,3114,180,103.26,8.24,1.58,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,50,10,10,15,3308,186,120.12,8.49,1.62,Fire,,Dark,Fire,Ground,0.121,0
Arcanine,30,10,15,10,2515,158,60.47,7.4,1.41,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,10,15,10,2724,165,73.86,7.7,1.47,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,10,15,10,2934,171,88.86,7.99,1.52,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,45,10,15,10,3122,176,103.8,8.24,1.58,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,50,10,15,10,3317,182,120.74,8.49,1.62,Fire,,Dark,Fire,Ground,0.132,0
Arcanine,30,10,15,15,2543,162,61.86,7.4,1.41,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,10,15,15,2755,169,75.56,7.7,1.47,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,10,15,15,2967,175,90.91,7.99,1.52,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,45,10,15,15,3158,180,106.2,8.24,1.58,Fire,,Dark,Fire,Ground,0.055,0
Arcanine,50,10,15,15,3355,186,123.53,8.49,1.62,Fire,,Dark,Fire,Ground,0.143,0
Arcanine,30,15,10,10,2532,158,60.03,7.56,1.44,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,15,10,10,2743,165,73.31,7.86,1.5,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,15,10,10,2954,171,88.25,8.16,1.56,Fire,,Dark,Fire,Ground,0.022,0
Arcanine,45,15,10,10,3144,176,103.07,8.41,1.61,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,50,15,10,10,3339,182,119.9,8.68,1.65,Fire,,Dark,Fire,Ground,0.121,0
Arcanine,30,15,10,15,2561,162,61.42,7.56,1.44,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,15,10,15,2774,169,75.0,7.86,1.5,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,15,10,15,2988,175,90.28,8.16,1.56,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,45,15,10,15,3180,180,105.45,8.41,1.61,Fire,,Dark,Fire,Ground,0.055,0
Arcanine,50,15,10,15,3378,186,122.66,8.68,1.65,Fire,,Dark,Fire,Ground,0.143,0
Arcanine,30,15,15,10,2568,158,61.74,7.56,1.44,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,15,15,10,2782,165,75.4,7.86,1.5,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,15,15,10,2995,171,90.76,8.16,1.56,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,45,15,15,10,3188,176,106.0,8.41,1.61,Fire,,Dark,Fire,Ground,0.055,0
Arcanine,50,15,15,10,3387,182,123.3,8.68,1.65,Fire,,Dark,Fire,Ground,0.143,0
Arcanine,30,15,15,15,2597,162,63.16,7.56,1.44,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,35,15,15,15,2813,169,77.13,7.86,1.5,Fire,,Dark,Fire,Ground,0.011,0
Arcanine,40,15,15,15,3030,175,92.84,8.16,1.56,Fire,,Dark,Fire,Ground,0.033,0
Arcanine,45,15,15,15,3225,180,108.44,8.41,1.61,Fire,,Dark,Fire,Ground,0.099,0
Arcanine,50,15,15,15,3425,186,126.15,8.68,1.65,Fire,,Dark,Fire,Ground,0.165,0
Alakazam,30,10,10,10,2500,114,44.92,8.52,1.38,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,10,10,10,2708,118,54.9,8.86,1.44,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,10,10,10,2916,123,66.06,9.2,1.49,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,45,10,10,10,3104,127,77.18,9.49,1.54,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,50,10,10,10,3297,131,89.76,9.78,1.58,Psychic,,Psychic,Fighting,Psychic,0.044,0
Alakazam,30,10,10,15,2540,117,46.37,8.52,1.38,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,10,10,15,2751,122,56.66,8.86,1.44,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,10,10,15,2963,127,68.18,9.2,1.49,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,45,10,10,15,3153,131,79.66,9.49,1.54,Psychic,,Psychic,Fighting,Psychic,0.022,0
Alakazam,50,10,10,15,3349,135,92.64,9.78,1.58,Psychic,,Psychic,Fighting,Psychic,0.044,0
Alakazam,30,10,15,10,2535,114,46.2,8.52,1.38,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,10,15,10,2746,118,56.46,8.86,1.44,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,10,15,10,2957,123,67.93,9.2,1.49,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,45,10,15,10,3147,127,79.37,9.49,1.54,Psychic,,Psychic,Fighting,Psychic,0.022,0
Alakazam,50,10,15,10,3343,131,92.3,9.78,1.58,Psychic,,Psychic,Fighting,Psychic,0.044,0
Alakazam,30,10,15,15,2575,117,47.68,8.52,1.38,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,10,15,15,2790,122,58.26,8.86,1.44,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,10,15,15,3004,127,70.1,9.2,1.49,Psychic,,Psychic,Fighting,Psychic,0.011,0
