name,IV_atk,IV_def,IV_sta,CP,HP,TDO,DPT,DPE,type_1,type_2,fm_type,cm1_type,cm2_type,min_viable_level
Aggron,10,10,10,783,19,88.0,1.4100000000000001,0.26,16,15,2,15,15,35.66433566433567
Aggron,10,10,15,794,21,90.42,1.4100000000000001,0.26,16,15,2,15,15,35.616883116883116
Aggron,10,15,10,790,19,89.66000000000001,1.4100000000000001,0.26,16,15,2,15,15,35.66433566433567
Aggron,10,15,15,800,21,92.10999999999999,1.4100000000000001,0.26,16,15,2,15,15,35.25974025974026
Aggron,15,10,10,801,19,90.11999999999999,1.4399999999999995,0.2699999999999998,16,15,2,15,15,35.616883116883116
Aggron,15,10,15,813,21,92.6,1.4399999999999995,0.2699999999999998,16,15,2,15,15,35.24242424242424
Aggron,15,15,10,809,19,91.80000000000001,1.4399999999999995,0.2699999999999998,16,15,2,15,15,35.25974025974026
Aggron,15,15,15,820,21,94.32000000000001,1.4399999999999995,0.2699999999999998,16,15,2,15,15,33.1060606060606
Ampharos,10,10,10,744,24,75.8,1.370000000000001,0.25,3,3,3,3,5,43.51239669421488
Ampharos,10,10,15,752,24,77.55999999999999,1.370000000000001,0.25,3,3,3,3,5,42.38636363636363
Ampharos,10,15,10,754,24,77.92,1.370000000000001,0.25,3,3,3,3,5,42.2027972027972
Ampharos,10,15,15,763,24,79.72,1.370000000000001,0.25,3,3,3,3,5,41.43356643356643
Ampharos,15,10,10,760,24,77.55000000000001,1.4100000000000001,0.26,3,3,3,3,5,42.38636363636363
Ampharos,15,10,15,769,24,79.33999999999999,1.4100000000000001,0.26,3,3,3,3,5,41.43356643356643
Ampharos,15,15,10,771,24,79.71000000000001,1.4100000000000001,0.26,3,3,3,3,5,41.43356643356643
Ampharos,15,15,15,780,24,81.55999999999999,1.4100000000000001,0.26,3,3,3,3,5,40.78512396694215
Annihilape,10,10,10,855,27,76.89,1.2699999999999996,0.20000000000000018,5,8,5,1,8,39.24242424242424
Annihilape,10,10,15,863,27,78.42000000000002,1.2699999999999996,0.20000000000000018,5,8,5,1,8,38.35227272727273
Annihilape,10,15,10,866,27,78.93,1.2699999999999996,0.20000000000000018,5,8,5,1,8,38.35227272727273
Annihilape,10,15,15,875,27,80.5,1.2699999999999996,0.20000000000000018,5,8,5,1,8,37.90909090909091
Annihilape,15,10,10,873,27,78.52000000000001,1.2800000000000011,0.20000000000000018,5,8,5,1,8,38.35227272727273
Annihilape,15,10,15,881,27,80.08000000000001,1.2800000000000011,0.20000000000000018,5,8,5,1,8,38.116883116883116
Annihilape,15,15,10,884,27,80.60999999999999,1.2800000000000011,0.20000000000000018,5,8,5,1,8,37.90909090909091
Annihilape,15,15,15,894,27,82.2,1.2800000000000011,0.20000000000000018,5,8,5,1,8,37.04545454545455
Arboliva,10,10,10,772,21,68.29,1.3599999999999994,0.20000000000000018,9,12,9,9,10,38.18181818181818
Arboliva,10,10,15,782,21,70.02999999999999,1.3599999999999994,0.20000000000000018,9,12,9,9,10,36.23376623376623
Arboliva,10,15,10,781,21,69.99999999999999,1.3599999999999994,0.20000000000000018,9,12,9,9,10,36.23376623376623
Arboliva,10,15,15,791,21,71.78999999999999,1.3599999999999994,0.20000000000000018,9,12,9,9,10,36.07954545454545
Arboliva,15,10,10,789,21,69.78999999999999,1.3899999999999988,0.2100000000000002,9,12,9,9,10,37.66233766233766
Arboliva,15,10,15,799,21,71.57,1.3899999999999988,0.2100000000000002,9,12,9,9,10,36.07954545454545
Arboliva,15,15,10,799,21,71.52999999999999,1.3899999999999988,0.2100000000000002,9,12,9,9,10,36.07954545454545
Arboliva,15,15,15,809,21,73.36000000000001,1.3899999999999988,0.2100000000000002,9,12,9,9,10,35.95959595959596
Armarouge,10,10,10,839,22,76.38999999999999,1.4699999999999989,0.19999999999999996,6,14,6,6,6,36.96969696969697
Armarouge,10,10,15,849,23,78.24,1.4699999999999989,0.19999999999999996,6,14,6,6,6,36.69421487603306
Armarouge,10,15,10,850,22,78.36,1.4699999999999989,0.19999999999999996,6,14,6,6,6,36.69421487603306
Armarouge,10,15,15,860,23,80.24000000000001,1.4699999999999989,0.19999999999999996,6,14,6,6,6,35.95959595959596
Armarouge,15,10,10,856,22,78.06,1.5,0.20999999999999996,6,14,6,6,6,36.69421487603306
Armarouge,15,10,15,866,23,79.94,1.5,0.20999999999999996,6,14,6,6,6,35.45454545454545
Armarouge,15,15,10,867,22,80.06,1.5,0.20999999999999996,6,14,6,6,6,35.45454545454545
Armarouge,15,15,15,877,23,81.97999999999999,1.5,0.20999999999999996,6,14,6,6,6,34.86363636363636
Articuno,10,10,10,345,24,94.36,-0.21999999999999886,0.029999999999999805,14,7,14,14,7,41.81818181818182
Articuno,10,10,15,349,24,96.55,-0.21999999999999886,0.029999999999999805,14,7,14,14,7,42.33766233766234
Articuno,10,15,10,343,24,96.00999999999999,-0.21999999999999886,0.029999999999999805,14,7,14,14,7,42.72727272727273
Articuno,10,15,15,347,24,98.21000000000001,-0.21999999999999886,0.029999999999999805,14,7,14,14,7,42.72727272727273
Articuno,15,10,10,370,24,97.1,-0.17999999999999972,0.050000000000000044,14,7,14,14,7,42.33766233766234
Articuno,15,10,15,375,24,99.33999999999999,-0.17999999999999972,0.050000000000000044,14,7,14,14,7,43.05194805194805
Articuno,15,15,10,368,24,98.79,-0.17999999999999972,0.050000000000000044,14,7,14,14,7,43.05194805194805
Articuno,15,15,15,372,24,101.06,-0.17999999999999972,0.050000000000000044,14,7,14,14,7,40.0
Aurorus,10,10,10,730,30,94.69,1.5500000000000007,0.2599999999999998,15,11,11,11,15,36.239669421487605
Aurorus,10,10,15,736,31,96.41000000000001,1.5500000000000007,0.2599999999999998,15,11,11,11,15,36.04895104895105
Aurorus,10,15,10,740,30,97.42000000000002,1.5500000000000007,0.2599999999999998,15,11,11,11,15,35.97402597402598
Aurorus,10,15,15,747,31,99.19999999999999,1.5500000000000007,0.2599999999999998,15,11,11,11,15,35.57575757575758
Aurorus,15,10,10,749,30,97.05999999999999,1.5899999999999999,0.26,15,11,11,11,15,35.97402597402598
Aurorus,15,10,15,756,31,98.82000000000001,1.5899999999999999,0.26,15,11,11,11,15,35.85227272727273
Aurorus,15,15,10,759,30,99.85999999999999,1.5899999999999999,0.26,15,11,11,11,15,35.57575757575758
Aurorus,15,15,15,767,31,101.68,1.5899999999999999,0.26,15,11,11,11,15,35.45454545454545
Avalugg,10,10,10,618,24,81.60000000000001,0.5600000000000005,0.28,11,15,11,1,11,36.756198347107436
Avalugg,10,10,15,626,25,83.4,0.5600000000000005,0.28,11,15,11,1,11,35.0
Avalugg,10,15,10,624,24,83.22000000000001,0.5600000000000005,0.28,11,15,11,1,11,36.6798418972332
Avalugg,10,15,15,631,25,85.06,0.5600000000000005,0.28,11,15,11,1,11,35.0
Avalugg,15,10,10,638,24,83.72999999999999,0.5800000000000001,0.31000000000000005,11,15,11,1,11,35.0
Avalugg,15,10,15,646,25,85.58000000000001,0.5800000000000001,0.31000000000000005,11,15,11,1,11,35.0
Avalugg,15,15,10,645,24,85.4,0.5800000000000001,0.31000000000000005,11,15,11,1,11,35.0
Avalugg,15,15,15,652,25,87.28,0.5800000000000001,0.31000000000000005,11,15,11,1,11,35.0
Baxcalibur,10,10,15,939,27,73.67999999999999,1.3200000000000003,0.2599999999999998,2,11,2,11,2,49.62566844919786
Baxcalibur,10,15,10,942,26,74.19,1.3200000000000003,0.2599999999999998,2,11,2,11,2,49.62566844919786
Baxcalibur,10,15,15,952,27,75.74000000000001,1.3200000000000003,0.2599999999999998,2,11,2,11,2,49.037433155080215
Baxcalibur,15,10,10,948,26,73.59,1.3499999999999996,0.2699999999999998,2,11,2,11,2,49.62566844919786
Baxcalibur,15,10,15,957,27,75.12000000000002,1.3499999999999996,0.2699999999999998,2,11,2,11,2,49.331550802139034
Baxcalibur,15,15,10,960,26,75.64999999999999,1.3499999999999996,0.2699999999999998,2,11,2,11,2,49.037433155080215
Baxcalibur,15,15,15,971,27,77.22999999999999,1.3499999999999996,0.2699999999999998,2,11,2,11,2,47.79220779220779
Beartic,10,10,15,802,25,56.209999999999994,1.1700000000000008,0.16999999999999993,11,11,11,11,17,48.37662337662338
Beartic,10,15,10,806,24,56.699999999999996,1.1700000000000008,0.16999999999999993,11,11,11,11,17,47.07070707070707
Beartic,10,15,15,815,25,57.95,1.1700000000000008,0.16999999999999993,11,11,11,11,17,46.515151515151516
Beartic,15,10,15,819,25,57.44,1.1999999999999993,0.18999999999999995,11,11,11,11,17,47.07070707070707
Beartic,15,15,10,823,24,57.92,1.1999999999999993,0.18999999999999995,11,11,11,11,17,46.515151515151516
Beartic,15,15,15,831,25,59.2,1.1999999999999993,0.18999999999999995,11,11,11,11,17,46.13636363636363
Bewear,10,10,10,814,29,69.83999999999999,1.3200000000000003,0.26,12,5,8,5,1,49.77272727272727
Bewear,10,10,15,821,30,71.13,1.3200000000000003,0.26,12,5,8,5,1,49.77272727272727
Bewear,10,15,10,827,29,72.15,1.3200000000000003,0.26,12,5,8,5,1,49.72727272727273
