charged_moves,elite_charged_moves,elite_fast_moves,fast_moves,form,pokemon_name
"['Sludge Bomb', 'Seed Bomb', 'Power Whip']",[],[],"['Vine Whip', 'Tackle']",Fall_2019,Bulbasaur
"['Sludge Bomb', 'Seed Bomb', 'Power Whip']",[],[],"['Vine Whip', 'Tackle']",Normal,Bulbasaur
"['Sludge Bomb', 'Solar Beam', 'Power Whip']",[],[],"['Razor Leaf', 'Vine Whip']",Normal,Ivysaur
"['Sludge Bomb', 'Petal Blizzard', 'Solar Beam']",['Frenzy Plant'],[],"['Razor Leaf', 'Vine Whip']",Copy_2019,Venusaur
"['Sludge Bomb', 'Petal Blizzard', 'Solar Beam']",['Frenzy Plant'],[],"['Razor Leaf', 'Vine Whip']",Normal,Venusaur
"['Flame Charge', 'Flame Burst', 'Flamethrower']",[],[],"['Ember', 'Scratch']",Fall_2019,Charmander
"['Flame Charge', 'Flame Burst', 'Flamethrower']",[],[],"['Ember', 'Scratch']",Normal,Charmander
"['Fire Punch', 'Flame Burst', 'Flamethrower']",[],['Scratch'],"['Ember', 'Fire Fang']",Normal,Charmeleon
"['Fire Blast', 'Dragon Claw', 'Overheat']","['Blast Burn', 'Flamethrower']","['Ember', 'Wing Attack', 'Dragon Breath']","['Fire Spin', 'Air Slash']",Copy_2019,Charizard
"['Fire Blast', 'Dragon Claw', 'Overheat']","['Blast Burn', 'Flamethrower']","['Ember', 'Wing Attack', 'Dragon Breath']","['Fire Spin', 'Air Slash']",Normal,Charizard
"['Aqua Jet', 'Aqua Tail', 'Water Pulse']",[],[],"['Bubble', 'Tackle']",Fall_2019,Squirtle
"['Aqua Jet', 'Aqua Tail', 'Water Pulse']",[],[],"['Bubble', 'Tackle']",Normal,Squirtle
"['Aqua Jet', 'Ice Beam', 'Hydro Pump']",[],[],"['Water Gun', 'Bite']",Normal,Wartortle
"['Flash Cannon', 'Ice Beam', 'Hydro Pump', 'Skull Bash']",['Hydro Cannon'],[],"['Water Gun', 'Bite']",Copy_2019,Blastoise
"['Flash Cannon', 'Ice Beam', 'Hydro Pump', 'Skull Bash']",['Hydro Cannon'],[],"['Water Gun', 'Bite']",Normal,Blastoise
['Struggle'],[],[],"['Bug Bite', 'Tackle']",Normal,Caterpie
['Struggle'],[],[],"['Bug Bite', 'Tackle']",Normal,Metapod
"['Bug Buzz', 'Psychic', 'Signal Beam']",[],['Bug Bite'],"['Struggle Bug', 'Confusion']",Normal,Butterfree
['Struggle'],[],[],"['Bug Bite', 'Poison Sting']",Normal,Weedle
